IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
442150107,Portillon-Pégers-Reigners,44215,Vertou,68.8,,21180,27970,37530,0.58,15680,19900,22580,25160,31340,35050,39760,50030,3.2,4.1,0.287,75.7,68.8,2.4,4.5,17.2,7.1,0
442150108,Chêne-Grassinière,44215,Vertou,70.7,7.2,21230,29630,40680,0.66,14950,19530,22900,25980,33120,37020,43930,57530,3.8,5.1,0.32,73.3,64.9,2.5,5.9,18.8,7.9,0
450040101,Le Bourg,45004,Amilly,40.6,29.6,11630,17620,24940,0.76,5090,10060,13130,15630,20360,23050,27290,33420,6.6,7.7,0.342,65,58.2,4,2.8,31.5,3.5,0
450040102,Saint-Firmin,45004,Amilly,60,16.7,16510,23380,32180,0.67,9730,14450,17750,20390,25960,30020,35020,46020,4.7,8.3,0.403,55.7,46.9,1.8,7,32.2,12.1,0
450040103,Les Goths,45004,Amilly,53.8,18.4,15470,21870,28980,0.62,8740,13480,16770,19190,24600,26920,31070,38730,4.4,5.8,0.309,66,59.2,3.1,3.7,30.6,3.4,0
450040201,Viroy A,45004,Amilly,58.3,13.9,16690,23560,32040,0.65,10890,15260,18290,20760,26270,29430,34240,44240,4.1,5.5,0.323,60.7,53.9,1.8,5,34.7,4.6,0
450040202,Viroy B,45004,Amilly,,,15220,21560,29190,0.65,9160,13530,16850,19170,24340,27170,31560,40000,4.4,5.9,0.322,59.8,53.7,2.5,3.6,36.1,4.1,0
450680101,Bourg,45068,Châlette-sur-Loing,37.3,41.4,7990,15370,23290,1,2870,6650,9670,12520,18220,21870,25120,31260,10.9,13.3,0.392,61.5,55,4.5,2,35.1,3.4,0
450680102,Lancy,45068,Châlette-sur-Loing,42.8,29.8,11470,18270,24540,0.72,5820,9950,13000,15390,20430,23020,26800,31660,5.4,6.6,0.313,59.5,53.9,4,1.6,38.7,1.8,0
450680103,Vesines,45068,Châlette-sur-Loing,30.4,44.8,8320,14170,20390,0.85,2140,6950,9150,11250,16240,18850,22220,27250,12.7,11.3,0.36,63.3,55.9,5.8,1.6,35.2,1.5,0
450680104,Pontonnerie,45068,Châlette-sur-Loing,35.8,36.3,9070,16260,22330,0.82,4520,7780,11400,13960,18580,20970,24140,29010,6.4,7.9,0.33,54.1,47.9,4.5,1.7,44.1,1.8,0
450680105,Kennedy-Chateau Blanc,45068,Châlette-sur-Loing,15.9,64.2,5290,9920,15570,1.04,1500,4540,6270,8190,11960,14420,16650,20760,13.8,11.9,0.38,75.3,,,,24.4,0.3,0
